ticker,company_name,aliases
RELIANCE.NS,Reliance Industries,Reliance
TCS.NS,Tata Consultancy Services,TCS
INFY.NS,Infosys,Infy
HDFCBANK.NS,HDFC Bank,HDFC Bank
ICICIBANK.NS,ICICI Bank,ICICI
KOTAKBANK.NS,Kotak Mahindra Bank,Kotak
LT.NS,Larsen & Toubro,L&T; LT
ITC.NS,ITC,ITC Limited
BAJFINANCE.NS,Bajaj Finance,Bajaj Finance
SBIN.NS,State Bank of India,SBI
BHARTIARTL.NS,Bharti Airtel,Airtel
HINDUNILVR.NS,Hindustan Unilever,HUL
AXISBANK.NS,Axis Bank,Axis
ASIANPAINT.NS,Asian Paints,Asian Paints
MARUTI.NS,Maruti Suzuki,Maruti
WIPRO.NS,Wipro,Wipro
HCLTECH.NS,HCL Technologies,HCL Tech
ULTRACEMCO.NS,UltraTech Cement,UltraTech
TITAN.NS,Titan Company,Titan
SUNPHARMA.NS,Sun Pharmaceutical,Sun Pharma
ONGC.NS,Oil and Natural Gas Corporation,ONGC
ADANIENT.NS,Adani Enterprises,Adani Enterprises
TATASTEEL.NS,Tata Steel,Tata Steel
JSWSTEEL.NS,JSW Steel,JSW Steel
BAJAJFINSV.NS,Bajaj Finserv,Bajaj Finserv
NTPC.NS,NTPC,NTPC Limited
POWERGRID.NS,Power Grid Corporation,Power Grid
TECHM.NS,Tech Mahindra,Tech Mahindra
GRASIM.NS,Grasim Industries,Grasim
DIVISLAB.NS,Divi's Laboratories,Divis Lab
HINDALCO.NS,Hindalco Industries,Hindalco
BRITANNIA.NS,Britannia Industries,Britannia
EICHERMOT.NS,Eicher Motors,Eicher
M&M.NS,Mahindra & Mahindra,M&M; Mahindra
BPCL.NS,Bharat Petroleum Corporation,BPCL
TATAMOTORS.NS,Tata Motors,Tata Motors
INDUSINDBK.NS,IndusInd Bank,IndusInd
UPL.NS,UPL,UPL Limited
HEROMOTOCO.NS,Hero MotoCorp,Hero MotoCorp
CIPLA.NS,Cipla,Cipla
DRREDDY.NS,Dr. Reddy's Laboratories,Dr Reddy's
COALINDIA.NS,Coal India,Coal India
SHREECEM.NS,Shree Cement,Shree Cement
SBILIFE.NS,SBI Life Insurance,SBI Life
APOLLOHOSP.NS,Apollo Hospitals,Apollo Hospitals
BAJAJ-AUTO.NS,Bajaj Auto,Bajaj Auto
NESTLEIND.NS,Nestle India,Nestle India
TATACONSUM.NS,Tata Consumer Products,Tata Consumer
HDFCLIFE.NS,HDFC Life Insurance,HDFC Life
JIOFIN.NS,Jio Financial Services,Jio Finance
KPITTECH.NS,KPIT Technologies,KPIT; KPIT Tech
APARINDS.NS,Apar Industries,Apar Industries
